python,cython
3.72425,0.22234
3.59395,0.22561
3.75096,0.22216
3.58111,0.22264
3.75045,0.22287
3.64122,0.22186
3.64376,0.22454
3.65077,0.23048
3.65775,0.22477
3.66758,0.22192
3.62221,0.22210
3.62277,0.22190
3.59304,0.22491
3.62748,0.22494
3.61379,0.22497
3.68632,0.22492
3.75614,0.24077
3.66124,0.22191
3.59439,0.22222
3.70439,0.22187
3.61238,0.24806
3.65835,0.22185
3.62035,0.26985
3.63501,0.22184
3.85538,0.22494
3.62540,0.22493
3.72676,0.22432
3.76876,0.22375
3.73610,0.22492
3.71461,0.22572
